listing_id,maximum,minimum,average
2183117,$90.00,$105.00,108.320610687023
2186358,$499.00,$249.00,325.425120772947
2187766,$599.00,$389.00,419.434782608696
2189086,$90.00,$80.00,80.1123595505618
2214923,$599.00,$379.00,514.581395348837
2215762,$185.00,$185.00,185.0
2216767,$350.00,$179.00,186.334470989761
2219399,$115.00,$115.00,115.0
2227959,$65.00,$65.00,65.0
2243499,$499.00,$249.00,325.231884057971
2246959,$539.00,$299.00,389.774647887324
2247190,$539.00,$299.00,389.921985815603
2260501,$100.00,$100.00,100.0
2260547,$100.00,$100.00,100.0
2277821,$895.00,$325.00,608.68023255814
2278704,$69.00,$52.00,66.3002915451895
2292495,$275.00,$100.00,176.018808777429
2294730,$90.00,$80.00,87.1774193548387
2295530,$99.00,$100.00,100.057851239669
2301709,$998.00,"$1,027.00",351.940251572327
2308630,,,
2326445,$195.00,$195.00,195.0
2331886,$198.00,$175.00,186.6
2360109,$200.00,$115.00,139.251412429379
2365632,$220.00,$220.00,220.0
2372987,$99.00,$100.00,182.868421052632
2374089,$195.00,$195.00,195.0
2376518,$245.00,$235.00,237.852564102564
2378421,$150.00,$125.00,136.746575342466
2384107,$350.00,$350.00,350.0
2384581,$95.00,$95.00,95.0
2395326,$210.00,$165.00,179.413793103448
2410846,$175.00,$110.00,145.121580547112
2412715,,,
2423613,,,
2429961,$200.00,$100.00,162.352941176471
2441095,$99.00,$109.00,198.022988505747
2443944,,,
2473997,$93.00,$100.00,84.0116279069767
2481019,$349.00,$179.00,229.102893890675
2495047,$160.00,$160.00,160.0
2513870,,,
2515870,$99.00,$99.00,99.0
2526773,$52.00,$52.00,52.0
2529318,$150.00,$150.00,150.0
2538536,$149.00,$149.00,149.0
2547075,$180.00,$125.00,153.700906344411
2547129,$200.00,$125.00,196.673913043478
2549840,$967.00,"$1,002.00",400.270547945205
2555771,$150.00,$150.00,150.0
2564544,$195.00,$149.00,174.378378378378
2573685,$499.00,$179.00,270.810810810811
2583074,$45.00,$40.00,40.0753012048193
2592416,$500.00,$500.00,500.0
2621242,$110.00,$110.00,110.0
2633478,$212.00,$212.00,212.0
2634361,$78.00,$68.00,70.3809523809524
2634499,$78.00,$64.00,68.0833333333333
2636365,$108.00,$108.00,108.0
2649521,$600.00,$600.00,600.0
2656568,,,
2657905,$189.00,$129.00,166.555555555556
2658094,$299.00,$225.00,264.31724137931
2660908,$99.00,$99.00,99.0
2663667,$155.00,$155.00,155.0
2672058,$90.00,$90.00,90.0
2682662,$943.00,$143.00,277.942424242424
2683284,$508.00,$185.00,275.311046511628
2684840,,,
2694019,$250.00,$250.00,250.0
2698996,$94.00,$64.00,77.0
2701124,$280.00,$280.00,280.0
2706986,$200.00,$125.00,137.469879518072
2715779,,,
2722165,$350.00,$299.00,337.25
2723274,,,
2729015,$85.00,$110.00,92.2164948453608
2747654,$99.00,$100.00,108.432786885246
2754149,$65.00,$65.00,65.0
2754975,$250.00,$150.00,209.055118110236
2764624,$85.00,$71.00,76.5653409090909
2769450,$280.00,$280.00,280.0
2776143,$99.00,$115.00,123.425
2776391,$300.00,$200.00,250.345394736842
2778656,,,
2794782,$70.00,$70.00,70.0
2798599,$200.00,$200.00,200.0
2798787,$75.00,$75.00,75.0
2810123,,,
2811937,$70.00,$70.00,70.0
2821825,$359.00,$329.00,330.978021978022
2821921,$329.00,$329.00,329.0
2823378,$125.00,$100.00,107.110778443114
2831504,$531.00,$397.00,441.429850746269
2842124,$200.00,$200.00,200.0
2843445,$75.00,$75.00,75.0
2843596,$85.00,$85.00,85.0
2846739,$135.00,$125.00,125.207715133531
2848239,$300.00,$200.00,239.439655172414
2848330,$400.00,$225.00,278.872403560831
2848362,$400.00,$200.00,271.002994011976
2848370,$250.00,$180.00,185.0
2848393,$800.00,$375.00,484.542682926829
2862120,$90.00,$100.00,96.0526315789474
2871079,$250.00,$250.00,250.0
2872717,$549.00,$329.00,388.391891891892
2875267,$175.00,$175.00,175.0
2880944,,,
2881388,$995.00,"$1,200.00",671.19877675841
2884903,$70.00,$70.00,70.0
2886933,$339.00,$229.00,258.411764705882
2892825,$850.00,$325.00,412.367231638418
2898226,$169.00,$150.00,150.301587301587
2915595,$299.00,$299.00,299.0
2915643,$289.00,$289.00,289.0
2916208,$125.00,$100.00,107.056451612903
2930663,$85.00,$73.00,76.4904942965779
2931165,$59.00,$47.00,57.25
2931271,$94.00,$134.00,152.830357142857
2931870,$79.00,$68.00,76.5505617977528
2933661,$98.00,$61.00,87.1068493150685
2943804,$344.00,$190.00,207.477611940299
2943893,,,
2947662,$349.00,$224.00,300.318681318681
2950175,,,
2963419,$100.00,$100.00,100.0
2998554,$235.00,$175.00,205.0
3006311,,,
3012529,$75.00,$75.00,75.0
3021446,$98.00,$100.00,95.2384105960265
3021862,$90.00,$90.00,90.0
3032367,,,
3050565,$90.00,$90.00,90.0
3052935,$70.00,$60.00,67.2485207100592
3057116,$94.00,$79.00,79.0837988826816
3060038,$81.00,$80.00,80.002808988764
3068453,$98.00,$100.00,113.200668896321
3069104,$230.00,$230.00,230.0
3075044,$75.00,$65.00,67.8133704735376
3079305,$160.00,$150.00,156.724137931034
3094942,,,
3129309,$250.00,$125.00,164.096774193548
3131519,$82.00,$72.00,74.8947368421053
3164650,$55.00,$34.00,54.6305220883534
